handle,contest_count,max_rating,friends_count,problem_count,rating
GreedyMind,4,1740,0,17,1740
lakshit,27,1812,55,70,1738
crvineeth97,24,1736,55,79,1736
start_tirth,30,1762,57,160,1730
tanuj.sharma,26,1730,48,114,1730
deepangupta91,27,1728,83,68,1728
sherlock_holms,21,1770,47,563,1721
finisher,36,1770,67,171,1719
predicate,7,1719,20,48,1719
wrumf,12,1718,29,84,1718
yashdv,28,1717,77,77,1717
math-is-stupid,54,1754,30,183,1716
infinitearray,3,1713,15,30,1713
anukul,27,1722,63,147,1712
lordinvader,17,1731,29,58,1707
swetanjal,29,1707,80,153,1707
icecode,54,1823,62,164,1705
harry7,6,1701,17,132,1701
joycode,49,1795,59,392,1699
pakhandibaba,26,1786,65,384,1699
deepanshugarg,37,1870,129,139,1697
gogateiiit,50,1823,60,404,1696
mihir_w,13,1727,30,49,1696
kshitij98,22,1841,43,107,1694
kishan98,35,1735,32,214,1693
amit_kumar_jha,11,1691,29,39,1691
venkat1997,47,1822,25,341,1690
ak.bewildered,31,1709,51,74,1689
pradeep1999,11,1687,4,37,1687
karan14,44,1686,27,159,1686
krans4u,34,1732,47,253,1685
abhinavaggarwal,50,1880,109,263,1678
ss__1729,45,1678,59,382,1678
akash_agarwal,23,1810,61,87,1672
anant_1234,41,1672,62,365,1672
Toshad,97,2034,143,317,1671
pallavshah,53,1801,43,154,1669
parag11,11,1676,33,58,1667
thevividlistener,66,1770,8,287,1667
Achilles_96,33,1666,35,223,1666
kunj,36,1744,62,187,1665
tom_and_jerry,30,1685,29,78,1663
nishitiiith,39,1756,70,111,1662
yudhik,25,1743,112,453,1662
step_iiith,1,1658,1,6,1658
Altitude,49,1785,76,335,1654
OptimusPrime,48,1699,17,161,1654
kansal,10,1654,13,30,1654
aayush98,76,1651,39,335,1651
tanmaysahay94,13,1663,112,433,1650
alok123t,44,1737,48,156,1647
yogeshkumar,20,1669,30,55,1646
b00merang,36,1729,45,159,1645
sharmaritvik60,28,1722,48,142,1645
anksy,4,1641,21,7,1641
machau,22,1640,26,194,1640
Fighter.human,105,1640,8,399,1637
abhi170893,55,1926,57,248,1635
RohanRTiwari,125,1751,125,680,1625
aman_shahi2,106,1790,95,408,1625
imswapy,29,1633,26,78,1624
anubhavsrivastava,5,1623,15,10,1623
pbhasin96,30,1719,88,187,1617
road_to_red,38,1653,29,427,1614
SAM_1993,48,1693,27,154,1613
iskein,21,1612,18,336,1612
kanav_7,17,1612,41,140,1612
DragonKnight6,31,1653,50,314,1611
earthWalker,60,1809,23,250,1609
ankurjain,43,1604,21,369,1604
paawangupta,23,1603,24,125,1603
maverickme,7,1601,11,25,1601
temp_user1,4,1600,9,29,1600
zonker,17,1699,43,46,1600
sankalp_02,32,1642,50,105,1598
ffser,32,1603,17,517,1590
n3rd,25,1733,58,212,1589
punetharomil,27,1591,39,245,1589
fmfkfd,32,1587,13,122,1587
SigmaG,10,1586,19,36,1586
Laxus94,2,1675,12,3,1585
gvishal,41,1625,42,144,1584
kira_111,31,1657,15,82,1582
Kgarg,13,1576,34,134,1576
trex_wolv,6,1623,18,13,1574
infparadox,8,1568,9,127,1568
zenosama,14,1564,30,92,1564
cyberlord,46,1563,60,474,1563
aarjay,45,1734,21,247,1560
